iter	Passed	Remaining
660	51071	26192
661	51122	26102
662	51168	26008
663	51216	25916
664	51271	25828
665	51320	25737
666	51366	25644
667	51409	25550
668	51456	25459
669	51501	25366
670	51546	25273
671	51589	25180
672	51635	25088
673	51682	24997
674	51728	24906
675	51785	24820
676	51831	24729
677	51882	24640
678	51926	24548
679	51971	24457
680	52025	24370
681	52068	24278
682	52118	24189
683	52170	24102
684	52219	24013
685	52262	23921
686	52307	23831
687	52352	23741
688	52393	23649
689	52441	23560
690	52480	23468
691	52526	23378
692	52566	23287
693	52619	23200
694	52664	23111
695	52710	23023
696	52752	22932
697	52797	22843
698	52828	22748
699	52864	22656
700	52900	22563
701	52938	22472
702	52971	22378
703	53013	22289
704	53049	22197
705	53078	22103
706	53133	22020
707	53169	21928
708	53202	21836
709	53468	21839
710	53508	21749
711	53558	21664
712	53628	21586
713	53683	21503
714	53736	21419
715	53790	21335
716	53842	21251
717	53885	21163
718	53930	21077
719	53981	20992
720	54030	20907
721	54072	20820
722	54125	20737
723	54168	20649
724	54209	20562
725	54259	20477
726	54300	20390
727	54367	20313
728	54422	20231
729	54477	20149
730	54563	20078
731	54621	19998
732	54712	19929
733	54792	19856
734	54863	19780
735	54934	19704
736	55003	19628
737	55074	19552
738	55153	19479
739	55238	19407
740	55297	19327
741	55351	19246
742	55509	19200
743	55610	19134
744	55684	19059
745	55756	18983
746	55829	18908
747	55914	18837
748	55989	18762
749	56072	18690
750	56205	18635
751	56378	18593
752	56528	18542
753	56620	18472
754	56758	18418
755	56854	18349
756	56937	18277
757	57021	18204
758	57089	18127
759	57206	18065
760	57309	17998
761	57388	17924
762	57443	17842
763	57494	17760
764	57527	17671
765	57568	17586
766	57607	17500
767	57653	17416
768	57704	17333
769	57740	17247
770	57832	17177
771	57923	17106
772	58025	17039
773	58070	16956
774	58115	16872
775	58167	16790
776	58217	16708
777	58258	16623
778	58319	16545
779	58660	16545
780	58852	16502
781	58904	16421
782	58957	16339
783	59005	16256
784	59057	16175
785	59111	16093
786	59197	16021
787	59338	15964
788	59464	15902
789	59535	15825
790	59574	15740
791	59647	15664
792	59693	15582
793	59744	15500
794	59789	15417
795	59836	15334
796	59875	15250
797	59929	15170
798	59977	15088
799	60027	15006
800	60081	14926
801	60129	14844
802	60191	14766
803	60244	14686
804	60287	14603
805	60344	14524
806	60398	14444
807	60458	14366
808	60515	14287
809	60632	14222
810	60696	14145
811	60775	14071
812	60824	13990
813	60869	13908
814	60911	13826
815	60962	13746
816	61005	13664
817	61038	13580
818	61069	13496
819	61108	13414
820	61139	13330
821	61177	13247
822	61220	13166
823	61261	13084
824	61308	13004
825	61348	12923
826	61400	12844
827	61429	12760
828	61455	12676
829	61608	12618
830	61637	12535
831	61674	12453
832	61717	12373
833	61762	12293
834	61804	12212
835	61847	12132
836	61889	12052
837	61931	11972
838	61987	11895
839	62032	11815
840	62073	11735
841	62111	11655
842	62155	11575
843	62191	11495
844	62240	11416
845	62281	11337
846	62322	11257
847	62389	11182
848	62599	11133
849	62648	11055
850	62702	10978
851	62750	10900
852	62802	10822
853	62854	10745
854	62900	10667
855	62946	10589
856	62992	10511
857	63044	10433
858	63094	10356
859	63144	10279
860	63188	10201
861	63218	10120
862	63246	10040
863	63278	9960
864	63311	9881
865	63339	9800
866	63371	9721
867	63404	9642
868	63449	9564
869	63485	9486
870	63537	9410
871	63578	9332
872	63614	9254
873	63680	9180
874	63854	9122
875	64012	9061
876	64132	8994
877	64299	8934
878	64424	8868
879	64547	8801
880	64652	8732
881	64787	8667
882	65014	8614
883	65160	8550
884	65375	8495
885	65632	8444
886	65880	8392
887	66003	8324
888	66082	8251
889	66145	8175
890	66209	8099
891	66261	8022
892	66325	7947
893	66417	7874
894	66491	7800
895	66560	7725
896	66631	7651
897	66689	7574
898	66768	7501
899	66828	7425
900	66908	7351
901	66966	7275
902	67036	7201
903	67097	7125
904	67159	7049
905	67228	6975
906	67303	6901
907	67363	6825
908	67457	6753
909	67522	6678
910	67591	6603
911	67664	6529
912	67788	6459
913	67870	6386
914	67988	6315
915	68070	6242
916	68146	6168
917	68271	6098
918	68344	6023
919	68414	5949
920	68520	5877
921	68644	5807
922	68718	5732
923	68785	5657
924	68846	5582
925	68935	5508
926	69003	5433
927	69095	5360
928	69154	5285
929	69223	5210
930	69289	5135
931	69384	5062
932	69449	4987
933	69525	4912
934	69585	4837
935	69677	4764
936	69728	4688
937	69768	4611
938	69822	4535
939	69865	4459
940	69913	4383
941	69968	4308
942	70012	4231
943	70052	4155
944	70138	4082
945	70184	4006
946	70212	3929
947	70245	3853
948	70483	3787
949	70520	3711
950	70551	3635
951	70603	3559
952	70655	3484
953	70699	3408
954	70739	3333
955	70789	3258
956	70831	3182
957	70877	3107
958	70924	3032
959	70973	2957
960	71014	2881
961	71060	2806
962	71098	2731
963	71155	2657
964	71199	2582
965	71240	2507
966	71280	2432
967	71324	2357
968	71380	2283
969	71439	2209
970	71489	2135
971	71566	2061
972	71632	1987
973	71746	1915
974	71812	1841
975	71865	1767
976	71913	1692
977	71953	1618
978	71999	1544
979	72050	1470
980	72090	1396
981	72134	1322
982	72194	1248
983	72244	1174
984	72289	1100
985	72339	1027
986	72401	953
987	72448	879
988	72499	806
989	72564	732
990	72622	659
991	72677	586
992	72727	512
993	72787	439
994	72829	365
995	72881	292
996	72928	219
997	72982	146
998	73024	73
999	73071	0
